"FileName","RelativePath","FullPath","SizeBytes","LastWriteTime","SHA256"
"07-gpo-report.xml","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\07-gpo-report.xml","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\07-gpo-report.xml","16034","6/12/2026 6:08:51 PM","495E01354764D496B9CE815D9DD834D4F3070928E660CCC6D707446805EF26B1"
"08-gpo-report-file-validation.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\08-gpo-report-file-validation.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\08-gpo-report-file-validation.txt","398","6/12/2026 6:08:51 PM","02F0D1700039FB4391A07A9AA3A0857438E586ACAF794B8F590EEA24C826B866"
"09-validation-summary.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\09-validation-summary.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\09-validation-summary.txt","1288","6/12/2026 6:08:51 PM","4A94C477A300EFA2F453B2B1414DB35553B8D028542EC1E1E496C57868E70297"
"10-evidence-file-list.txt","DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\10-evidence-file-list.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-GPO-IT-Drive-Map-20260612-180844\10-evidence-file-list.txt","1488","6/12/2026 6:08:52 PM","BF65B24D301E841BCE56DC2F19692928324AECF7927273E0A097142FC2AEB4B8"
"01-hostname.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\01-hostname.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\01-hostname.txt","14","6/12/2026 7:48:50 PM","03238284990C12E9F1E4F498F55895B51732C259C70776F3A8830684189885B7"
"02-whoami.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\02-whoami.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\02-whoami.txt","42","6/12/2026 7:48:51 PM","A175D208925BEE9F5D1ABC36A2C68E175DCB05B695BE180F05ACC93F0A0EA093"
"03-os-uptime.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\03-os-uptime.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\03-os-uptime.txt","422","6/12/2026 7:48:53 PM","1248C7FA1384AFDEB27662207464FF7EEE22C8FD347EC9FDE1A01DEC950AAC0E"
"04-dcdiag-basic-health.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\04-dcdiag-basic-health.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\04-dcdiag-basic-health.txt","22802","6/12/2026 7:49:17 PM","24B712C2BAF2B90B948687CD0EFD35F2C003D8A0449006689FAB456DD25F8164"
"05-dns-service.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\05-dns-service.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\05-dns-service.txt","158","6/12/2026 7:49:17 PM","45838D00B3E02CB5715ED20EB7329405811FDD65B3AC05DBB57337C991E84AAF"
"06-dns-resolution-ws01.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\06-dns-resolution-ws01.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\06-dns-resolution-ws01.txt","698","6/12/2026 7:49:19 PM","76D67BB647CBBC41EC805C1A5821DCD42A1E81745132DC52FA44B385764F7F47"
"07-dhcp-service.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\07-dhcp-service.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\07-dhcp-service.txt","194","6/12/2026 7:49:19 PM","B8A5A2CB1A0F864EE6F4194D2FBC6AC95C5F39493B2E0EC7A4B4F123D6D69075"
"08-dhcp-scopes.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\08-dhcp-scopes.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\08-dhcp-scopes.txt","740","6/12/2026 7:49:27 PM","2144EF0143203950C4E557065D3DE8894F362E4A65340EE4CBE10A6FE83BF39A"
"09-dhcp-leases.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\09-dhcp-leases.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\09-dhcp-leases.txt","390","6/12/2026 7:49:28 PM","8A5F8FA319BA2EB7A001E549E89832B2CFBC08F5630D2F567977B454395F414A"
"10-smb-shares.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\10-smb-shares.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\10-smb-shares.txt","1950","6/12/2026 7:49:28 PM","DB532AD1D0824BD10570029D29E57B418B7F75855C7937D40E1B68C4E785807D"
"11-it-share-access.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\11-it-share-access.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\11-it-share-access.txt","704","6/12/2026 7:49:28 PM","D551D79CAB2087A20AAED4F10AF812668E3F56C16E8C5A40384BBA8803B26018"
"12-it-share-ntfs-acl.txt","DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\12-it-share-ntfs-acl.txt","C:\Shares\IT\HomeLab-Evidence-Export-20260612-184743\DC01-Evidence\DC01-Monitoring-Logging-Evidence-20260612-194849\12-it-share-ntfs-acl.txt","488","6/12/2026 7:49:29 PM","A243EE42AC5FEC41AC3C99ED9A861B3C91D1743C66C1F6ADBF3D634CB9B1C155"
