"DisplayName","AppId","ServicePrincipalType","AccountEnabled","PublisherName"
"OfficeClientService","0f698dd4-f011-4d23-a33e-b36416dcb1e6","Application","True",
"Azure Virtual Desktop ARM Provider","50e95039-b200-4007-bc97-8d5790743a63","Application","True",
"PowerApps Service","475226c6-020e-4fb2-8a90-7a972cbfc1d4","Application","True",
"Microsoft Office 365 Portal","00000006-0000-0ff1-ce00-000000000000","Application","True",
"Microsoft Service Trust","d6fdaa33-e821-4211-83d0-cf74736489e1","Application","True",
"M365 License Manager","aeb86249-8ea3-49e2-900b-54cc8e308f85","Application","True",
"Intune MonoDeviceService ConfidentialClient","b8566c1c-2b37-4f6b-97ad-9aaf1fc20560","Application","True",
"Conference Auto Attendant","207a6836-d031-4764-a9d8-c1193f455f21","Application","True",
"Microsoft 365 Security and Compliance Center","80ccca67-54bd-44ab-8625-4b79c4dc7775","Application","True",
"PowerApps-Advisor","c9299480-c13a-49db-a7ae-cdfe54fe0313","Application","True",
"OfficeServicesManager","9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1","Application","True",
"Microsoft.Defender.Incident","e74a9aae-ce66-426d-b197-ef43a773faa8","Application","True",
"Signal B2 Service","32b6d34b-c894-4971-8223-e17b86e9ad26","Application","True",
"Modern Workplace Customer APIs","c9d36ed4-91b3-4c87-b8d7-68d92826c96c","Application","True",
"Portfolios","f53895d3-095d-408f-8e93-8f94b391404e","Application","True",
"Data Classification Service","7c99d979-3b9c-4342-97dd-3239678fb300","Application","True",
"IC3 Modern Effective Config Worker","481115cb-6d15-4cc0-8caf-f2fee7bfbd2b","Application","True",
"MicrosoftEndpointDLP","c98e5057-edde-4666-b301-186a01b4dc58","Application","True",
"IC3 Tenant Provisioning","62a112d5-f305-42a6-8ced-6b8e3f71fb0d","Application","True",
"Office 365 Search Service","66a88757-258c-4c72-893c-3e8bed4d6899","Application","True",
"Microsoft.SMIT","8fca0a66-c008-4564-a876-ab3ae0fd5cff","Application","True",
"CompliancePolicy","644c1b11-f63f-45fa-826b-a9d2801db711","Application","True",
"Office 365 Reports","507bc9da-c4e2-40cb-96a7-ac90df92685c","Application","True",
"Microsoft Teams AuditService","978877ea-b2d6-458b-80c7-05df932f3723","Application","True",
"Skype Presence Service","1e70cd27-4707-4589-8ec5-9bd20c472a46","Application","True",
"WindowsUpdate-Service","6f0478d5-61a3-4897-a2f2-de09a5a90c7f","Application","True",
"Windows Azure Active Directory","00000002-0000-0000-c000-000000000000","Application","True",
"Power BI Service","00000009-0000-0000-c000-000000000000","Application","True",
"Microsoft Device Management EMM API","8ae6a0b1-a07f-4ec9-927a-afb8d39da81c","Application","True",
"Microsoft Intune","0000000a-0000-0000-c000-000000000000","Application","True",
"Modern Policy Administration Pasta - Prod","f389d335-c0cf-4069-984b-88005f1f09a1","Application","True",
"WeveEngine","3c896ded-22c5-450f-91f6-3d1ef0848f6e","Application","True",
"Microsoft Copilot Studio Service","9d8f559b-5984-46a4-902a-ad4271e83efa","Application","True",
"Intune DeviceDirectory ConfidentialClient","7e313d81-57dd-4bdd-906e-337963583de3","Application","True",
"Azure Purview","73c2949e-da2d-457a-9607-fcc665198967","Application","True",
"Skype Teams Calling API Service","26a18ebc-cdf7-4a6a-91cb-beb352805e81","Application","True",
"Microsoft Managed Policy Manager","87e86b91-9ae3-4679-b68a-471fe50be746","Application","True",
"IC3 Long Running Operations Service","21a8a852-89f4-4947-a374-b26b2db3d365","Application","True",
"Microsoft Graph Change Tracking","0bf30f3b-4a52-48df-9a82-234910c4a086","Application","True",
"M365PurvieweDiscoveryService","0d38933a-0bbd-41ca-9ebd-28c4b5ba7cb7","Application","True",
"Signup","b4bddae8-ab25-483e-8670-df09b9f1d0ea","Application","True",
"AAD App Management","f0ae4899-d877-4d3c-ae25-679e38eea492","Application","True",
"Viva Engage","00000005-0000-0ff1-ce00-000000000000","Application","True",
"Bing","9ea1ad79-fdb6-4f9a-8bc3-2b70f96e34c7","Application","True",
"SalesInsightsWebApp","b20d0d3a-dc90-485b-ad11-6031e769e221","Application","True",
"Universal Print","da9b70f6-5323-4ce6-ae5c-88dcc5082966","Application","True",
"Teams NRT DLP Service","7a274595-3618-4e6f-b54e-05bb353e0153","Application","True",
"Lifecycle Workflows","ce79fdc4-cd1d-4ea5-8139-e74d7dbe0bb7","Application","True",
"Intune Grouping and Targeting Client Prod","fd14a986-6fe4-409a-883e-cdec1009cd54","Application","True",
"SharePoint Notification Service","3138fe80-4087-4b04-80a6-8866c738028a","Application","True",
"People Profile Event Proxy","65c8bd9e-caac-4816-be98-0692f41191bc","Application","True",
"Microsoft Substrate Management","98db8bd6-0cc0-4e67-9de5-f187f1cd1b41","Application","True",
"Microsoft Teams Graph Service","ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b","Application","True",
"Microsoft Graph Connectors Core","f8f7a2aa-e116-4ba6-8aea-ca162cfa310d","Application","True",
"Power Platform Authorization Service PROD","8d605dfc-1a04-4da6-9be2-8426724af3f3","Application","True",
"Substrate-FileWatcher","fbb0ac1a-82dd-478b-a0e5-0b2b98ef38fe","Application","True",
"Intune Compliance Client Prod","a882f5bd-2492-44fe-bb55-a811aab59451","Application","True",
"Microsoft Solution Providers","87df0fbf-e22d-4d7c-bc30-f59ca7460837","Application","True",
"Call Quality Dashboard","c61d67cf-295a-462c-972f-33af37008751","Application","True",
"Customer Service Trial PVA - readonly","6abc93dc-978e-48a3-8e54-458e593ed8cf","Application","True",
"Microsoft SaaS Hub Resource Provider","02d2a314-8dbb-47d3-8a77-1677403097de","Application","True",
"OMSAuthorizationServicePROD","50d8616b-fd4f-4fac-a1c9-a6a9440d7fe0","Application","True",
"Power Platform Connector Management Service - PROD","59534ab2-0027-4a45-b9ec-61d1b6b871c9","Application","True",
"Power Platform Data Analytics","7dcff627-a295-4553-9229-b1f3513f82a8","Application","True",
"AAD Request Verification Service - PROD","c728155f-7b2a-4502-a08b-b8af9b269319","Application","True",
"Teams Policy Notification Processor Service","61f9e166-f678-4342-bfd3-b49781ce7a0a","Application","True",
"Virtual Visits App","2b479c68-8d9b-4e27-9d85-5d74803de734","Application","True",
"CABProvisioning","5da7367f-09c8-493e-8fd4-638089cddec3","Application","True",
"Common Data Service License Management","1c2909a7-6432-4263-a70d-929a3c1f9ee5","Application","True",
"M365PurvieweDiscoveryInfra","92876b03-76a3-4da8-ad6a-0511ffdf8647","Application","True",
"My Apps","2793995e-0a7d-40d7-bd35-6968ba142197","Application","True",
"Microsoft App Access Panel","0000000c-0000-0000-c000-000000000000","Application","True",
"Microsoft Defender Hunting","992136bc-5b57-425f-8d95-ac65975722cd","Application","True",
"DeploymentScheduler","8bbf8725-b3ca-4468-a217-7c8da873186e","Application","True",
"Customer Experience Platform PROD","2220bbc4-4518-4fef-aac6-c6f32e9f9fd1","Application","True",
"Graph-Automation","ca823448-c1b8-45b8-854d-e356f10c90be","Application","True",
"Privacy Management","5a4a238f-f186-4fff-95bd-d3e70f9e1a08","Application","True",
"CloudLicensingSystem","de247707-4e4a-47d6-89fd-3c632f870b34","Application","True",
"Connectors","48af08dc-f6d2-435f-b2a7-069abd99c086","Application","True",
"Microsoft Flow Service","7df0a125-d3be-4c96-aa54-591f83ff541c","Application","True",
"OneNote Web Clipper","9322f837-c8f8-4796-9aef-1677748fe553","Application","True",
"IAMTenantCrawler","66244124-575c-4284-92bc-fdd00e669cea","Application","True",
"Microsoft Information Protection API","40775b29-2688-46b6-a3b5-b256bd04df9f","Application","True",
"CPIM Service","bb2a2e3a-c5e7-4f0a-88e0-8e01fd3fc1f4","Application","True",
"Power Platform API","8578e004-a5c6-46e7-913e-12f58912df43","Application","True",
"Intune CMDeviceService","14452459-6fa6-4ec0-bc50-1528a1a06bf0","Application","True",
"TenantSearchProcessors","abc63b55-0325-4305-9e1e-3463b182a6dc","Application","True",
"Microsoft Cloud App Security","05a65629-4c1b-48c1-a78b-804c4abdd4af","Application","True",
"Microsoft password reset service","93625bc8-bfe2-437a-97e0-3d0060024faa","Application","True",
"Microsoft.Azure.SyncFabric","00000014-0000-0000-c000-000000000000","Application","True",
"Power Policy CM - PROD","c81c4f54-f70c-49e3-a01d-0a44ed684c5a","Application","True",
"MsgDataMgmt","61a63147-3824-45f5-a186-ace3f4c9daeb","Application","True",
"OneProfile Service","b2cc270f-563e-4d8a-af47-f00963a71dcd","Application","True",
"Sway","905fcf26-4eb7-48a0-9ff0-8dcc7194b5ba","Application","True",
"Microsoft Intune Service Discovery","9cb77803-d937-493e-9a3b-4b49de3f5a74","Application","True",
"Graph Connector Service","56c1da01-2129-48f7-9355-af6d59d42766","Application","True",
"Skype Core Calling Service","66c23536-2118-49d3-bc66-54730b057680","Application","True",
"Microsoft Exchange Online Protection","00000007-0000-0ff1-ce00-000000000000","Application","True",
"OneNote","2d4d3d8e-2be3-4bef-9f87-7875a61c29de","Application","True",
"Microsoft Teams ATP Service","0fa37baf-7afc-4baf-ab2d-d5bb891d53ef","Application","True",
"Microsoft AppSource","a0e1e353-1a3e-42cf-a8ea-3a9746eec58c","Application","True",
"M365 Admin Services","6b91db1b-f05b-405a-a0b2-e3f60b28d645","Application","True",
"Microsoft Approval Management","65d91a3d-ab74-42e6-8a2f-0add61688c74","Application","True",
"OCaaS Experience Management Service","6e99704e-62d5-40f6-b2fe-90aafbe3a710","Application","True",
"Skype Teams Firehose","cdccd920-384b-4a25-897d-75161a4b74c1","Application","True",
"Microsoft Rights Management Services","00000012-0000-0000-c000-000000000000","Application","True",
"SharePoint Online Web Client Extensibility","08e18876-6177-487e-b8b5-cf950c1e598c","Application","True",
"SPNews","734b96c4-2c97-44d6-8595-cd38f20c5416","Application","True",
"Microsoft 365 App Catalog Services","e8be65d6-d430-4289-a665-51bf2a194bda","Application","True",
"Microsoft Teams Services","cc15fd57-2c6c-4117-a88c-83b1d56b4bbe","Application","True",
"Power Apps Service Data Plane Backend","b6fb6bd6-f0fb-4a60-beb1-4e50afd0eaa9","Application","True",
"Office365 Shell SS-Server","e8bdeda8-b4a3-4eed-b307-5e2456238a77","Application","True",
"Azure Multi-Factor Auth Client","981f26a1-7f43-403b-a875-f8b09b8cd720","Application","True",
"Microsoft Teams Chat Aggregator","b1379a75-ce5e-4fa3-80c6-89bb39bf646c","Application","True",
"Customer Service Trial PVA","944861d3-5975-4f8b-afd4-3422c0b1b6ce","Application","True",
"PnP.PowerShell (Jeremy)","1ec27675-470a-4e7d-9808-9722242b8f05","Application","True",
"P2P Server","63340487-1a4d-4f1d-a815-e8c321d28047","Application","True",
"Office 365 Management APIs","c5393580-f805-4401-95e8-94b7a6ef2fc2","Application","True",
"Microsoft Mobile Application Management","0a5f63c0-b750-4f38-a71c-4fc0d58b89e2","Application","True",
"Microsoft Teams Admin Portal Service","2ddfbe71-ed12-4123-b99b-d5fc8a062a79","Application","True",
"GraphPS","5e42da9e-6405-4e7e-b342-5bf88cce47d5","Application","True",
"M365-Lab-GraphPS","c02fe86e-090f-4682-aabd-832b69f3b984","Application","True",
"Meeting Migration Service","82f45fb0-18b4-4d68-8bed-9e44909e3890","Application","True",
"MCAPI Authorization Prod","d73f4b35-55c9-48c7-8b10-651f6f2acb2e","Application","True",
"SharePoint Home Notifier","4e445925-163e-42ca-b801-9073bfa46d17","Application","True",
"Azure Credential Configuration Endpoint Service","ea890292-c8c8-4433-b5ea-b09d0668e1a6","Application","True",
"o365.servicecommunications.microsoft.com","cb1bda4c-1213-4e8b-911a-0a8c83c5d3b7","Application","True",
"Dunloe Dataplane Service","89e7f920-bdc3-4e71-99e5-30d84827b610","Application","True",
"O365 Demeter","982bda36-4632-4165-a46a-9863b1bbcf7d","Application","True",
"M365AdminAgent","8ad61c39-5b6e-447c-b26a-a64eee436502","Application","True",
"WindowsDefenderATP","fc780465-2017-40d4-a0c5-307022471b92","Application","True",
"Azure Virtual Desktop","9cdead84-a844-4324-93f2-b2e6bb768d07","Application","True",
"M365 App Management Service","0517ffae-825d-4aff-999e-3f2336b8a20a","Application","True",
"SubscriptionRP","e3335adb-5ca0-40dc-b8d3-bedc094e523b","Application","True",
"Microsoft Teams AadSync","62b732f7-fc71-40bc-b27d-35efcb0509de","Application","True",
"Graph Connector Federated Credential App","933838e2-bec1-440f-a634-9363c82e5b6d","Application","True",
"Power Virtual Agents ","96ff4394-9197-43aa-b393-6a41652e21f8","Application","True",
"Audit Search Api Service","e158eb19-34ac-4d1b-a930-ec92172f7a97","Application","True",
"Microsoft To-Do","c830ddb0-63e6-4f22-bd71-2ad47198a23e","Application","True",
"Microsoft Teams Mailhook","51133ff5-8e0d-4078-bcca-84fb7f905b64","Application","True",
"Microsoft Intune SCCM Connector","63e61dc2-f593-4a6f-92b9-92e4d2c03d4f","Application","True",
"CAP Neptune Prod CM Prod ","ab158d9a-0b5c-4cc3-bb2b-f6646581e4e4","Application","True",
"Microsoft Windows AutoPilot Service API","cbfda01c-c883-45aa-aedc-e7a484615620","Application","True",
"MicrosoftEntraIDReputationManagementServices","81ca2f57-06b8-4597-9eee-ad8f700c5106","Application","True",
"IPSubstrate","4c8f074c-e32b-4ba7-b072-0f39d71daf51","Application","True",
"Windows Update for Business Deployment Service","61ae9cd9-7bca-458c-affc-861e2f24ba3b","Application","True",
"Microsoft Intune Web Company Portal","74bcdadc-2fdc-4bb3-8459-76d06952a0e9","Application","True",
"Skype and Teams Tenant Admin API","48ac35b8-9aa8-4d74-927d-1f4a14a0b239","Application","True",
"PushChannel","4747d38e-36c5-4bc3-979b-b0ef74df54d1","Application","True",
"Office 365 Configure","aa9ecb1e-fd53-4aaa-a8fe-7a54de2c1334","Application","True",
"Microsoft Graph Command Line Tools","14d82eec-204b-4c2f-b7e8-296a70dab67e","Application","True",
"SharePoint Framework Azure AD Helper","e29b5c86-b9ab-4a86-9a20-d10842007599","Application","True",
"Azure AD Notification","fc03f97a-9db0-4627-a216-ec98ce54e018","Application","True",
"Marketplace Rating and Reviews PROD","597cd9fe-6340-49a7-a0e3-8af00a7e1730","Application","True",
"Policy Administration Service","0469d4cd-df37-4d93-8a61-f8c75b809164","Application","True",
"Billing RP","80dbdb39-4f33-4799-8b6f-711b5e3e61b6","Application","True",
"Teams Admin Monitoring Alerting Platform","f2537abf-644e-4a0d-9f7b-c91c45c643db","Application","True",
"Office365 Shell WCSS-Server Default","a68e1e61-ad4f-45b6-897d-0a1ea8786345","Application","True",
"Microsoft Office Licensing Service","8d3a7d3c-c034-4f19-a2ef-8412952a9671","Application","True",
"Recommended","98c8388a-4e86-424f-a176-d1288462816f","Application","True",
"Power Apps Service Customer Management Plane Backend","3570e63c-5acf-4f3f-9f15-a49faa5120d3","Application","True",
"Microsoft SharePoint Online - SharePoint Home","dcad865d-9257-4521-ad4d-bae3e137b345","Application","True",
"Office Online Service","e03a13ee-9730-4cae-8525-47559c8cf18a","Application","True",
"Cortana at Work Service","2a486b53-dbd2-49c0-a2bc-278bdfc30833","Application","True",
"IAM Supportability","a57aca87-cbc0-4f3c-8b9e-dc095fdc8978","Application","True",
"PnP-Classical-Automation","9b4f8be3-2be4-4efa-ab57-6f3926f16e5b","Application","True",
"M365-Automation-App","fd8a5e95-fbeb-404a-b378-9c67231111a8","Application","True",
"Office Shredding Service","b97b6bd4-a49f-4a0c-af18-af507d1da76c","Application","True",
"PPE-DataResidencyService","dc457883-bafe-4f8b-a333-29685e7eaa9e","Application","True",
"Microsoft Threat Protection Bicep Extension","229c0a71-0789-4652-8054-3f547fcc66f0","Application","True",
"Groups Service","86b4b4b4-db10-481c-876b-07447e7f204f","Application","True",
"My Profile","8c59ead7-d703-4a27-9e55-c96a0054c8d2","Application","True",
"IpLicensingService","189cf920-d3d8-4133-9145-23adcc6824fa","Application","True",
"Designer","5e2795e3-ce8c-4cfb-b302-35fe5cd01597","Application","True",
"Teams CMD Services Artifacts","6bc3b958-689b-49f5-9006-36d165f30e00","Application","True",
"Substrate Instant Revocation Pipeline","eace8149-b661-472f-b40d-939f89085bd4","Application","True",
"Azure ESTS Service","00000001-0000-0000-c000-000000000000","Application","True",
"Azure MFA StrongAuthenticationService","b5a60e17-278b-4c92-a4e2-b9262e66bb28","Application","True",
"GraphPS","b942aeaa-edcd-498b-b1de-f6eea31a962e","Application","True",
"Microsoft PrivateStore","d360971a-94de-4558-b764-dfd218a8f5ce","Application","True",
"OCaaS Client Interaction Service","c2ada927-a9e2-4564-aae2-70775a2fa0af","Application","True",
"Request Approvals Read Platform","d8c767ef-3e9a-48c4-aef9-562696539b39","Application","True",
"Microsoft Intune Advanced Threat Protection Integration","794ded15-70c6-4bcd-a0bb-9b7ad530a01a","Application","True",
"Microsoft Information Protection Sync Service","870c4f2e-85b6-4d43-bdda-6ed9a579b725","Application","True",
"OCaaS Worker Services","167e2ded-f32d-49f5-8a10-308b921bc7ee","Application","True",
"Centralized Deployment","257601fd-462f-4a21-b623-7f719f0f90f4","Application","True",
"ProjectWorkManagement","09abbdfd-ed23-44ee-a2d9-a627aa1c90f3","Application","True",
"Azure Resource Manager","797f4846-ba00-4fd7-ba43-dac1f8f63013","Application","True",
"O365 LinkedIn Connection","f569b9c7-be15-4e87-86f7-87d30d02090b","SocialIdp","True",
"Teams Biometric Service","00edd498-7c0c-4e68-859c-5a55d518c9c0","Application","True",
"Media Analysis and Transformation Service","944f0bd1-117b-4b1c-af26-804ed95e767e","Application","True",
"Office 365 Exchange Online","00000002-0000-0ff1-ce00-000000000000","Application","True",
"Marketplace Catalog","a5ce81bb-67c7-4043-952a-22004782adb5","Application","True",
"Microsoft Customer Engagement Portal","71234da4-b92f-429d-b8ec-6e62652e50d7","Application","True",
"Microsoft Forms","c9a559d2-7aab-4f13-a6ed-e7e9c52aec87","Application","True",
"Microsoft Graph","00000003-0000-0000-c000-000000000000","Application","True",
"Office365DirectorySynchronizationService","18af356b-c4fd-4f52-9899-d09d21397ab7","Application","True",
"Skype for Business Online","00000004-0000-0ff1-ce00-000000000000","Application","True",
"Messaging Bot API Application","5a807f24-c9de-44ee-a3a7-329e88a00ffc","Application","True",
"Cortana Runtime Service","81473081-50b9-469a-b9d8-303109583ecb","Application","True",
"Exchange Rbac","789e8929-0390-42a2-8934-0f9dafb8ec89","Application","True",
"Azure Resource Graph","509e4652-da8d-478d-a730-e9d4a1996ca4","Application","True",
"Microsoft Modern Contact Master","224a7b82-46c9-4d6b-8db0-7360fb444681","Application","True",
"Windows 365","0af06dc6-e4b5-4f28-818e-e78e62d137a5","Application","True",
"AzureSupportCenter","37182072-3c9c-4f6a-a4b3-b3f91cacffce","Application","True",
"Microsoft Teams User Profile Search Service","a47591ab-e23e-4ffa-9e1b-809b9067e726","Application","True",
"MS-PIM","01fc33a7-78ba-4d2f-a4b7-768e336e890e","Application","True",
"Office 365 SharePoint Online","00000003-0000-0ff1-ce00-000000000000","Application","True",
"Microsoft People Cards Service","394866fc-eedb-4f01-8536-3ff84b16be2a","Application","True",
"Microsoft Azure AD Identity Protection","a3dfc3c6-2c7d-4f42-aeec-b2877f9bce97","Application","True",
"MS Teams Griffin Assistant","c9224372-5534-42cb-a48b-8db4f4a3892e","Application","True",
"Dynamics Data Integration","2e49aa60-1bd3-43b6-8ab6-03ada3d9f08b","Application","True",
"Microsoft Rights Management Services Default","934d626a-1ead-4a36-a77d-12ec63b87a0d","Application","True",
"Azure AD Identity Governance - Entitlement Management","810dcf14-1858-4bf2-8134-4c369fa3235b","Application","True",
"Azure Multi-Factor Auth Connector","1f5530b3-261a-47a9-b357-ded261e17918","Application","True",
"Microsoft Intune API","c161e42e-d4df-4a3d-9b42-e7a3c31f59d4","Application","True",
"Microsoft Teams AuthSvc","a164aee5-7d0a-46bb-9404-37421d58bdf7","Application","True",
"Microsoft Teams - Teams And Channels Service","b55b276d-2b09-4ad2-8de5-f09cf24ffba9","Application","True",
"Verifiable Credentials Service Admin","6a8b4b39-c021-437c-b060-5a14a3fd65f3","Application","True",
"Narada Notification Service","51b5e278-ed7e-42c6-8787-7ff93e92f577","Application","True",
